SAMPLE_ID	snpPC1	snpPC2	snpPC3	snpPC4	snpPC5	snpPC6	snpPC7	snpPC8	snpPC9	snpPC10
R4162_D1AAPACXX	-0.0123864	0.0016848	-0.0026137	-0.000330628	-0.000712825	-0.00481897	0.00449333	0.00714008	0.000899321	-0.00128008
R5868_C28MMACXX	-0.0123858	-0.000799675	0.00110487	-0.00713105	0.00554246	-0.00863251	-0.00933127	-0.00433188	-0.00337895	-0.0106355
R3978_C0GWRACXX	0.0121374	-0.00245433	0.000213244	-0.000111006	9.84573e-05	-5.34871e-05	0.000146568	0.000518877	-8.21368e-05	-6.81471e-05
R3774_D0HMLACXX	0.0124924	-0.0027748	0.000284348	-0.000106052	0.000392499	0.000466726	-0.00013532	0.000161621	9.27334e-05	6.88416e-05
R3666_C0JM8ACXX	-0.00887057	0.0015975	0.00247579	-0.00613246	0.00226403	0.00321816	0.00400585	-0.00614278	0.00728343	-0.000893575
R3523_D156YACXX	0.0122505	-0.00228615	-0.000232198	0.000332368	0.000456259	-0.000425147	0.000323506	-0.000309066	0.000109393	-0.000315917
R3557_D0HMLACXX	0.0118315	-0.00216138	-0.000109466	-0.000100599	-0.000112427	0.000151818	0.000235185	-3.29499e-05	0.000195786	0.000348335
R4029_D11NEACXX	0.0121036	-0.00304877	0.00027244	0.00021659	0.00059299	-0.000211249	-4.12684e-05	0.000380998	1.68908e-05	-6.03655e-05
R5871_C0CEWACXX	0.0120233	-0.00148872	0.000316588	-0.000127049	0.000270995	0.000307569	0.000136349	-2.46713e-05	0.000139881	-0.000292207
R4043_C28MYACXX	-0.0058123	-0.00182495	0.00213553	0.00225762	0.00294635	0.00106333	0.0112903	0.00411717	-0.0053552	0.00110114
R5608_C282LACXX	0.0120956	-0.00248199	-0.000130598	0.000252503	-0.000120059	-0.000278221	9.31085e-05	-4.1115e-05	0.000347471	2.93104e-05
R4047_C00JVACXX	0.0116851	-0.00221241	1.96165e-05	-0.000219357	0.000129848	0.000100222	-0.000486193	0.000246296	-0.000251684	-5.36242e-05
R5597_C282LACXX	-0.00873235	0.00218704	-0.00291674	0.00205525	-0.00141843	0.000516256	0.0090068	0.00435014	-0.00265314	-0.00713723
R5600_C282LACXX	-0.0103953	0.000354681	0.00641236	0.00339724	0.00066461	-9.82584e-06	0.000228724	-0.00564577	-0.00446256	0.00861794
R5622_C282LACXX	-0.010693	0.00280422	-0.00167138	-0.00117443	-0.00334093	0.00294853	0.00544712	0.00732959	-0.00210532	0.00277007
R5623_C282LACXX	-0.0116524	-0.00238204	0.00239265	0.00324118	0.00733962	-0.00405071	0.00584845	-0.0140522	-0.0017832	0.00209937
R4337_C0GWRACXX	0.0119396	-0.00283216	0.000226549	-7.49961e-05	6.29173e-05	-0.000165916	9.59918e-05	0.000167636	-2.42062e-05	0.0002239
R4338_C1MBUACXX	0.00396727	0.0109474	1.67605e-05	0.000336281	-0.000615808	-0.000133425	-0.000354757	-0.000641182	0.000207277	0.000211603
R4339_C0GWRACXX	0.0120432	-0.00197547	-0.000191745	-0.000137206	-0.000234659	-2.28791e-05	0.000328444	0.000668674	-0.000153458	0.000406103
R4417_C28MYACXX	-0.0135486	0.000797502	-0.0131229	0.0013219	0.00703157	0.0124469	-0.0057176	-0.00189	0.00164211	0.000177241
R4393_C0CEWACXX	0.0121298	-0.00227746	1.64719e-05	0.000147699	-5.19151e-05	0.00018921	0.0001649	0.000149246	-0.000394502	0.000604229
R4407_C3V3YACXX	0.0120896	-0.00271698	0.000146057	-7.69202e-05	9.15454e-05	0.000185666	-0.000349246	0.000290879	5.24264e-05	0.000273828
R4414_C0CEWACXX	0.0123276	-0.00222898	-0.000258442	0.000415914	0.000286671	-0.000231479	1.9832e-05	5.31131e-05	9.3431e-05	2.1974e-05
R4367_C0CEWACXX	0.0121215	-0.00182059	7.26506e-05	-0.000257692	0.00046901	0.00012737	0.000140438	0.00012249	0.000258972	0.000137283
R4381_C0CEWACXX	0.0118926	-0.00217025	0.000295932	-0.000453042	0.000180949	0.000245018	0.000109652	6.75571e-05	-0.000148079	-0.000148434
R4386_C00JVACXX	0.0124353	-0.00139488	-0.000503002	-2.52428e-05	-0.000443127	-1.33864e-06	0.000486631	1.46101e-05	-1.64037e-06	-5.2643e-05
R4387_C0CEWACXX	0.0122252	-0.00280478	0.000450497	0.000127625	-0.000198587	-0.000795232	0.000131374	0.000229385	8.05083e-06	9.56298e-05
R4388_D2A01ACXX	-0.0102115	-0.000264466	0.0075035	-0.000882177	0.00595555	-0.00651279	0.00795218	0.00947188	-0.000309321	0.00265403
R4273_C0GWRACXX	0.0123469	-0.00190279	-2.73562e-05	7.39116e-05	-0.000297886	-0.000285718	0.00039615	-2.85004e-05	0.00035841	-0.000661277
R5905_C0CEWACXX	0.0123845	-0.00228401	0.000292488	-0.000373011	-2.64216e-05	-0.000172193	0.000374042	0.000580243	-0.000136194	9.13956e-05
R4279_C00JVACXX	0.0123191	-0.00165016	0.000345307	-0.000307348	8.92038e-05	-8.54413e-05	-0.000152666	0.000150058	-0.000189688	0.000202581
R4351_C0GWRACXX	0.0121992	-0.00226439	-0.000163174	-0.000156895	7.27453e-05	5.6183e-06	-7.81333e-05	0.000210055	0.000129743	0.00015866
R4357_C0VJYACXX	0.0108224	-0.00148056	0.000141083	1.42666e-06	0.00048891	-0.000194842	-0.000309708	0.000204195	-6.461e-05	-0.00021988
R4359_C1MBUACXX	0.0051692	0.0104834	-4.15243e-05	0.000355316	-0.000638957	-0.000262609	-0.000278659	-0.000375253	0.000184101	0.000331578
R4366_C0CEWACXX	0.0118682	-0.00233712	-0.000134292	6.93156e-05	0.000105282	0.000306956	0.000145207	0.000170733	-0.000239422	0.000238317
R5743_C28MMACXX	0.00627645	0.00452367	4.17233e-06	4.50089e-05	-6.74812e-06	-0.000117928	-0.000231243	-0.000233314	0.000299275	0.000119042
R5747_C28MMACXX	0.00666133	0.0138638	-3.52883e-05	0.000301428	-0.000942247	-0.000300702	-7.80069e-05	-0.000804796	1.24671e-05	3.96293e-05
R6533_C284PACXX	-0.00959034	3.08218e-05	0.00414525	-0.0110406	-0.00141169	0.0095528	-0.00495264	0.00437903	-0.00107076	0.00457409
R6574_C284PACXX	0.0125121	-0.00190047	3.49416e-05	-9.42104e-05	-0.00010898	0.00064278	4.04773e-05	0.000299723	0.000604483	-3.37147e-05
R6535_C284PACXX	-0.00438467	-0.000476267	-0.00018063	0.00244174	0.00642596	0.00181337	-0.0041725	0.000747997	0.00290253	0.00153558
R3549_C2K2WACXX	0.011205	-0.00215961	3.49014e-05	0.000200372	0.000233499	-0.000267465	0.000182635	-0.000129091	-9.89872e-05	-2.91373e-05
R3901_C3V3YACXX	0.0122708	-0.00224533	-0.000210145	-2.89535e-05	-3.27512e-05	0.000484996	0.000235634	0.00026788	-0.000337787	0.000456554
R3597_C2K2WACXX	-0.0110477	0.000483009	-0.00351663	-0.00441694	0.00430564	0.00370311	0.000830755	0.00121209	0.00347902	-0.00550885
R4177_D1AAPACXX	-0.0128433	-0.000117054	-0.00580742	0.00390357	0.00264646	-0.00227194	0.00695106	0.00792488	0.00542326	-0.00299213
R3393_C0JV6ACXX	-0.0124688	-0.000418831	-0.0057015	0.00260613	0.000405867	0.00177934	0.00575939	0.00814293	0.0100299	-0.000339852
R3645_C2K2WACXX	-0.00361034	-0.00484874	0.00132177	-1.19954e-05	0.00173389	0.00533679	-0.00503194	-0.000129512	-0.00273975	-0.00292888
R3417_D156YACXX	-0.00738415	-0.000928325	0.00440258	-0.00130684	0.00126706	-6.0689e-05	-3.72778e-05	0.00201703	0.00213036	-0.0058904
R5848_C1MBUACXX	-0.0129639	-0.000327767	0.00271144	0.000412995	0.00263414	-0.00211245	0.00112483	0.00428876	0.00444653	0.00450426
R3646_C28MYACXX	-0.009541	-0.00197248	-0.00186082	0.000334058	-0.0110922	-0.00336223	-0.0038801	-0.00213429	0.0019657	-0.00463899
R4226_C0JKHACXX	-0.0130018	-0.00036049	-0.000403672	-0.0112948	-0.00567424	0.000829808	0.00154809	0.00217461	-0.00455544	0.00979646
R2905_C0VJYACXX	-0.0114344	-0.00215237	-0.00508916	-0.0138591	-0.00376342	-0.00408606	-0.00499338	0.00368806	-0.00061555	-0.00303785
R4179_C28MYACXX	-0.00783608	-0.00253988	0.00672595	-0.00355452	0.00388416	-0.000819774	-0.00365021	0.00410375	0.00615116	-0.000368628
R3927_D0HMLACXX	-0.011244	0.00326037	0.0192106	-0.00514363	0.00144473	-0.000105536	-0.0125771	0.00258838	0.00965019	-0.00395987
R3491_D0HMLACXX	0.0102651	-0.00125899	-8.50741e-05	-9.85056e-05	0.000302522	-0.000241271	-6.58013e-05	0.000187321	-0.000165429	0.000456108
R4194_D1AAPACXX	0.0070502	0.013009	0.000209369	0.000287162	-0.00100696	-0.000239481	-0.000262413	-0.000387978	0.000213227	0.000425858
R3931_C101EACXX	-0.00870582	0.00110769	-0.00263219	0.00653844	0.00314586	-0.00211788	-0.00859208	0.00130831	-0.0114399	0.00477057
R3543_C0JV6ACXX	-0.0121909	0.00106309	-0.00863897	0.000830061	0.00890469	-0.0149096	-0.0042189	0.00124605	-0.0104879	-0.00371015
R5859_C28MMACXX	-0.010326	0.00188731	-0.000188118	-0.00204021	0.00656629	0.00636391	0.00513376	-0.00576969	0.0121693	0.0028526
R3921_C3V3YACXX	0.0120556	-0.0015381	-8.92068e-05	-5.03998e-05	1.11043e-05	9.49253e-05	0.000104222	0.000224286	-0.000341801	0.000255916
